Date,optimised,equal_weight
2012-01-03,0.0,0.0
2012-01-04,0.0,0.0
2012-01-05,0.0,0.0
2012-01-06,0.0,0.0
2012-01-09,0.0,0.0
2012-01-10,0.0,0.0
2012-01-11,0.0,0.0
2012-01-12,0.0,0.0
2012-01-13,0.0,0.0
2012-01-17,0.0,0.0
2012-01-18,0.0,0.0
2012-01-19,0.0,0.0
2012-01-20,0.0,0.0
2012-01-23,0.0,0.0
2012-01-24,0.0,-0.00014285714285714281
2012-01-25,0.0,0.001482822198091008
2012-01-26,0.0,-2.8277110338611285e-05
2012-01-27,0.0,0.0008972275220948149
2012-01-30,0.0,0.00011051092013980912
2012-01-31,0.0,-4.453589924307775e-05
2012-02-01,0.0,0.001494869234214393
2012-02-02,0.002342443843382458,0.0017075136139317465
2012-02-03,0.002282890378710495,0.0016997526657710252
2012-02-06,0.0005488183280296531,0.0007141888044273649
2012-02-07,-0.0011274432161239,-0.0021004969097417007
2012-02-08,-0.0022153184310877466,-0.0014337137213784909
2012-02-09,-9.238154094756198e-05,0.0013051929079751455
2012-02-10,-0.0023495939684559874,-0.0010623734326580714
2012-02-13,-0.004104275888706332,-0.001954275566672046
2012-02-14,-0.0009766805185164337,-0.0001136985462720426
2012-02-15,-0.0005438341591877269,-0.0003107623938795853
2012-02-16,0.0001457077199352478,8.326155885729008e-05
2012-02-17,0.0053588801864217885,0.003062217418879443
2012-02-21,-0.0016419075329287902,-0.0009382329278910619
2012-02-22,-0.0014046007438619046,-0.0009454861837756568
2012-02-23,-0.0002042016830604334,0.0019839042698174317
2012-02-24,-0.0003075596635094545,-0.00142657568368229
2012-02-27,0.0018223984798173489,0.0019862814944149525
2012-02-28,0.0010968603268797902,0.0016635199835197665
2012-02-29,0.0025529870144406497,0.0027365139766411376
2012-03-01,0.0004917945584730787,-0.000449931256439784
2012-03-02,-0.0004143812748008919,-0.0004798538816042601
2012-03-05,0.0026451456870231057,0.001797226314148805
2012-03-06,-0.00019329807595795884,-0.00011045634381015232
2012-03-07,0.004465866173788133,0.0025519239736225374
2012-03-08,0.002375307930871819,0.00135731905472345
2012-03-09,-0.0017100587137865199,-0.0009771765785610781
2012-03-12,0.0030308605967057827,0.0017319206434886626
2012-03-13,0.004594517178693434,0.002625438846409239
2012-03-14,0.002093830893937066,0.001196475005523307
2012-03-15,0.0006869910868952027,0.0003925664039381139
2012-03-16,0.0,0.0
2012-03-19,0.0,0.0
2012-03-20,0.0,0.0
2012-03-21,0.0,0.0
2012-03-22,0.0,0.0
2012-03-23,0.0,0.0
2012-03-26,0.0,0.0
2012-03-27,0.0,0.0
2012-03-28,-0.00024999999260989975,-0.00014285714285714284
2012-03-29,0.0015027826745688927,0.0008587329822810014
2012-03-30,0.0036114210748574623,0.002063669246635726
2012-04-02,0.0008877484378092016,0.0005072848366008011
2012-04-03,0.0029433272019066584,0.0016819012832377848
2012-04-04,0.0,0.0
2012-04-05,-0.0002500000019406064,-0.00014285714285714281
2012-04-09,-0.00035549543085513607,-0.00020314024462607383
2012-04-10,0.0038053614258548815,0.002174492226466312
2012-04-11,-0.002390448107131224,-0.0013659703366133197
2012-04-12,0.002447187239146954,0.0013983926979529622
2012-04-13,-0.004468743389930303,-0.002553567642650877
2012-04-16,0.0013881628859084582,0.0007932360031752368
2012-04-17,-0.005949017456304712,-0.00339943851976957
2012-04-18,0.007775961136860815,0.004443406306701673
2012-04-19,-0.0024648467241145146,-0.0014084838778477284
2012-04-20,0.002315189092579739,0.0011801080916832125
2012-04-23,-0.0020036532740576826,0.0013719697972937994
2012-04-24,-0.00032844939268414884,-0.0001197626724161599
2012-04-25,0.0007978922922942694,-6.550219245720409e-05
2012-04-26,-0.004719110251748479,-0.0022150457345569067
2012-04-27,-0.0031600585718342404,-0.0008907281495947161
2012-04-30,0.003441702545953172,0.0002567353065004017
2012-05-01,0.0005405251365027476,8.594528821134742e-05
2012-05-02,-0.00750143487472167,-0.0049478859609685955
2012-05-03,-0.0026346636173446283,-0.001948171775576748
2012-05-04,-0.0017991608481179038,-0.0012305299428202413
